,id,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,ar,lrr,srr,alr,sdr,smr
70,324,"Arakawa et al. 1987, No. 6",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,28.6,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,0.9166666666666666,0.5198414147835635,0.044857139786806846,0.1265660299915899,0.375,0.8646875766903411
71,325,"Arakawa et al. 1987, No. 8",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,31.4,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,0.9166666666666666,0.4734861293888509,0.04281044782511911,0.11527988718979207,0.375,0.7445583362621556
72,326,"Arakawa et al. 1987, No. 9",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,16.0,20.0,6.0,50.0,0.9166666666666666,0.6499438016528926,0.04343748532625751,0.11868158877899905,0.375,1.053114918673528
73,327,"Arakawa et al. 1987, No. 10",0,Double Cantilever,Feff provided,1,215.0,275.0,300.0,30.2,366.0,0.0,368.0,0,16.0,8.0,20.0,6.0,50.0,0.9166666666666666,0.32820009851677523,0.04365270126967009,0.11986054495892288,0.375,0.6577001052409631
74,328,"Arakawa et al. 1987, No. 11",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,28.7,366.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,0.9166666666666666,0.5180301206553978,0.0,0.2522500667428203,0.0,1.2580437994459532
75,329,"Arakawa et al. 1987, No. 12",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,27.8,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,100.0,0.9166666666666666,0.5348008799571913,0.04549798853558425,0.2604164358100339,0.375,1.0483979235540424
76,330,"Arakawa et al. 1987, No. 13",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,30.5,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,50.0,0.9166666666666666,0.4874578512396694,0.04343748532625751,0.2373631775579981,0.375,0.8895234945129971
77,331,"Arakawa et al. 1987, No. 14",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,31.3,366.0,0.0,368.0,0,16.0,12.0,20.0,6.0,35.0,0.9166666666666666,0.4749988646265149,0.04287878058660523,0.23129638707728248,0.375,0.7912649916489607
78,332,"Arakawa et al. 1988, No. 15",0,Double Cantilever,Feff provided,1,0.0,275.0,450.0,32.0,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.4608,0.04390528117136571,0.0,0.375,0.7694040372681877
79,333,"Arakawa et al. 1988, No. 16",0,Double Cantilever,Feff provided,0,0.0,275.0,450.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,35.0,0.6111111111111112,0.4711054313099041,0.044393520118197256,0.0,0.375,0.5161115985806239
80,334,"Arakawa et al. 1988, No. 17",0,Double Cantilever,Feff provided,2,215.0,275.0,300.0,31.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.9166666666666666,0.4711054313099041,0.044393520118197256,0.11564819353864124,0.375,0.9428038963691178
81,335,"Arakawa et al. 1988, No. 18",0,Double Cantilever,Feff provided,2,215.0,275.0,450.0,31.1,363.0,0.0,0.0,0,16.0,12.0,23.0,0.0,0.0,0.6111111111111112,0.4741350482315112,0.0,0.11639191182506337,0.0,1.2681390161984856
82,336,"Arakawa et al. 1988, No. 19",0,Double Cantilever,Feff provided,2,215.0,275.0,450.0,31.2,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.4726153846153846,0.04446460666511934,0.11601886082562408,0.375,0.8366382664877919
83,337,"Arakawa et al. 1988, No. 20",0,Double Cantilever,Feff provided,0,215.0,275.0,450.0,29.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,35.0,0.6111111111111112,0.5032627986348123,0.04588364824754266,0.1235422681829171,0.375,0.6069454007359018
84,338,"Arakawa et al. 1988, No. 21",0,Double Cantilever,Feff provided,0,215.0,275.0,600.0,30.5,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.4583333333333333,0.4834622950819672,0.04497196171006552,0.11868158877899905,0.375,0.7542196317905766
85,339,"Arakawa et al. 1988, No. 22",0,Double Cantilever,Feff provided,2,215.0,275.0,450.0,20.5,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.7192975609756097,0.054854823418473336,0.17657504671997418,0.375,0.8934662803166977
86,340,"Arakawa et al. 1988, No. 23",0,Double Cantilever,Feff provided,1,215.0,275.0,450.0,42.2,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.3494218009478673,0.03823274906702534,0.08577697767202537,0.375,0.7883885378995759
