Target Displacement,Load Factor Lambda
-0.029999999999999888,-0.0033292704935504345
-0.02249999999999988,-0.0024965162314249684
-0.014999999999999875,-0.001663762255151455
-0.007499999999999868,-0.0008310085646518825
0.0,1.744840162525915e-06
0.0075000000000000015,0.0008344975388768608
0.015000000000000003,0.0016677658278460219
0.022500000000000006,0.002501026090751611
0.030000000000000006,0.0033342753118027865
0.037500000000000006,0.0041675104744647315
0.04500000000000001,0.005000728561502466
0.05250000000000001,0.005833926555024694
0.06000000000000001,0.006667101436527711
0.06750000000000002,0.007500250186939335
0.07500000000000001,0.00833336978666289
0.08250000000000002,0.009166457215621236
0.09000000000000002,0.009999509453300802
0.09750000000000002,0.010832523478795694
0.10500000000000002,0.011665496270851828
0.11250000000000002,0.012498424807911076
0.12000000000000002,0.013331306068155456
0.12750000000000003,0.014164137029551369
0.13500000000000004,0.014996914669893838
0.14250000000000002,0.015829635966850785
0.15000000000000002,0.016662297898007352
0.15750000000000003,0.0174948974409102
0.16500000000000004,0.018327431573111886
0.17250000000000004,0.01915989727221522
0.18000000000000005,0.01999229151591766
0.18750000000000003,0.020824611282055736
0.19500000000000003,0.021656853548649463
0.20250000000000004,0.02248901529394678
0.21000000000000005,0.023321089381509612
0.21750000000000005,0.02415307263733456
0.22500000000000003,0.02498496188610314
0.21750000000000003,0.024151700561074723
0.21000000000000002,0.02331895433981397
0.2025,0.02248620849360396
0.195,0.021653463022856145
0.1875,0.020820717927963046
0.18,0.01998797320929807
0.1725,0.0191552288672154
0.16499999999999998,0.018322484902049817
0.15749999999999997,0.017489741314116566
0.14999999999999997,0.01665699810371121
0.14249999999999996,0.015824255271109477
0.13499999999999995,0.014991512816567139
0.12749999999999995,0.014158770740319846
0.11999999999999994,0.013326029042583003
0.11249999999999993,0.012493287723551622
0.10499999999999993,0.011660546783400193
0.09749999999999992,0.010827806222282545
0.08999999999999991,0.009995066040331709
0.0824999999999999,0.009162326237659788
0.0749999999999999,0.008329586814357833
0.0674999999999999,0.007496847770495701
0.05999999999999989,0.006664109106121938
0.05249999999999988,0.005831370821263648
0.04499999999999987,0.004998632915926371
0.03749999999999987,0.0041658953900939565
0.02999999999999986,0.003333158243728449
0.022499999999999853,0.0025004214767699626
0.014999999999999847,0.0016676850891365685
0.00749999999999984,0.0008349490807241757
-1.6653345369377348e-16,2.213451406420386e-06
-0.007500000000000173,-0.0008305203024732673
-0.01500000000000018,-0.0016637681490852662
-0.022500000000000187,-0.002497007878508208
-0.030000000000000193,-0.003330236475231872
-0.0375000000000002,-0.004163450923011164
-0.045000000000000207,-0.004996648204909948
-0.05250000000000021,-0.0058298253033449154
-0.06000000000000022,-0.006662979200129506
-0.06750000000000023,-0.007496106876517859
-0.07500000000000023,-0.008329205313248803
-0.08250000000000024,-0.009162271490589896
-0.09000000000000025,-0.00999530238838149
-0.09750000000000025,-0.010828294986080825
-0.10500000000000026,-0.011661246262806175
-0.11250000000000027,-0.01249415319738101
-0.12000000000000027,-0.013327012768378194
-0.12750000000000028,-0.014159821954164202
-0.1350000000000003,-0.01499257773294339
-0.1425000000000003,-0.01582527708280226
-0.1500000000000003,-0.01665791698175377
-0.1575000000000003,-0.01749049440778165
-0.1650000000000003,-0.018323006338884763
-0.17250000000000032,-0.019155449753121463
-0.18000000000000033,-0.019987821628653986
-0.18750000000000033,-0.02082011894379285
-0.19500000000000034,-0.021652338677041267
-0.20250000000000035,-0.022484477807139594
-0.21000000000000035,-0.023316531713625965
-0.21750000000000036,-0.02414849736187914
-0.22500000000000003,-0.024980371717744674
-0.21750000000000003,-0.024147119962815294
-0.21000000000000002,-0.023314381534292026
-0.2025,-0.022481643515239236
-0.195,-0.021648905906105884
-0.1875,-0.020816168707320275
-0.18,-0.019983431919289873
-0.1725,-0.01915069554240115
-0.16499999999999998,-0.01831795957701943
-0.15749999999999997,-0.017485224023488715
-0.14999999999999997,-0.01665248888213154
-0.14249999999999996,-0.015819754153248808
-0.13499999999999995,-0.014987019837119636
-0.12749999999999995,-0.014154285934001207
-0.11999999999999994,-0.013321552444128614
-0.11249999999999993,-0.012488819367714702
-0.10499999999999993,-0.011656086704949928
-0.09749999999999992,-0.010823354456002212
-0.08999999999999991,-0.009990622621016788
-0.0824999999999999,-0.009157891200116059
-0.0749999999999999,-0.008325160193399458
-0.0674999999999999,-0.007492429600943306
-0.05999999999999989,-0.006659699422800672
-0.05249999999999988,-0.005826969659001235
-0.04499999999999987,-0.00499424030955115
-0.03749999999999987,-0.004161511374432912
-0.02999999999999986,-0.0033287828536052305
-0.022499999999999853,-0.0024960547470028894
-0.014999999999999847,-0.0016633270545366272
-0.00749999999999984,-0.0008305997760930083
0.0,2.127088456781457e-06
0.0075000000000000015,0.0008348533562627615
0.015000000000000003,0.0016680950377047723
0.022500000000000006,0.002501328547737785
0.030000000000000006,0.003334550870935844
0.037500000000000006,0.00416775899114177
0.04500000000000001,0.005000949891510992
0.05250000000000001,0.005834120554555426
0.06000000000000001,0.006667267962187406
0.06750000000000002,0.007500389095763634
0.07500000000000001,0.008333480936129182
0.08250000000000002,0.00916654046366154
0.09000000000000002,0.009999564658314669
0.09750000000000002,0.010832550499663116
0.10500000000000002,0.011665494966946167
0.11250000000000002,0.012498395039111987
0.12000000000000002,0.013331247694861844
0.12750000000000003,0.014164049912694326
0.13500000000000004,0.014996798670949598
0.14250000000000002,0.015829490947853672
0.15000000000000002,0.01666212372156274
0.15750000000000003,0.017494693970207458
0.16500000000000004,0.01832719867193732
0.17250000000000004,0.019159634804965017
0.18000000000000005,0.019991999347610825
0.18750000000000003,0.02082428927834699
0.19500000000000003,0.02165650157584217
0.20250000000000004,0.02248863321900584
0.21000000000000005,0.023320681187032736
0.21750000000000005,0.024152642459447315
0.22500000000000003,0.024984514016148224
0.23250000000000004,0.02581629283745274
0.24000000000000005,0.026647975904141277
0.24750000000000005,0.02747955511434272
0.25500000000000006,0.02831102728520621
0.26250000000000007,0.029142389232867976
0.25500000000000006,0.028309153987708686
0.24750000000000005,0.02747643353916813
0.24000000000000005,0.026643713608082716
0.23250000000000004,0.02581099419515124
0.22500000000000003,0.02497827530104727
0.21750000000000003,0.02414555692641895
0.21000000000000002,0.023312839071888764
0.2025,0.02248012173805334
0.195,0.021647404925483237
0.1875,0.020814688634722724
0.18,0.019981972866289586
0.1725,0.019149257620674903
0.16499999999999998,0.018316542898342864
0.15749999999999997,0.01748382869973054
0.14999999999999997,0.016651115025247704
0.14249999999999996,0.01581840187527662
0.13499999999999995,0.014985689250171852
0.12749999999999995,0.014152977150260058
0.11999999999999994,0.013320265575839811
0.11249999999999993,0.012487554527181392
0.10499999999999993,0.011654844004526614
0.09749999999999992,0.010822134008088622
0.08999999999999991,0.009989424538051718
0.0824999999999999,0.00915671559457117
0.0749999999999999,0.008324007177773032
0.0674999999999999,0.00749129928775397
0.05999999999999989,0.0066585919245810785
0.05249999999999988,0.005825885088291712
0.04499999999999987,0.004993178778893306
0.03749999999999987,0.004160472996363212
0.02999999999999986,0.0033277677406485275
0.022499999999999853,0.002495063011665934
0.014999999999999847,0.0016623588093015308
0.00749999999999984,0.0008296551334106764
-1.6653345369377348e-16,-3.048016163893716e-06
-0.007500000000000173,-0.0008357510286273836
-0.01500000000000018,-0.0016689692978906698
-0.022500000000000187,-0.0025021792661256616
-0.030000000000000193,-0.0033353779182270695
-0.0375000000000002,-0.0041685622383695895
-0.045000000000000207,-0.005001729210051763
-0.05250000000000021,-0.005834875816139878
-0.06000000000000022,-0.006667999038911908
-0.06750000000000023,-0.007501095860101499
-0.07500000000000023,-0.008334163260941978
-0.08250000000000024,-0.009167198222210416
-0.09000000000000025,-0.010000197724271697
-0.09750000000000025,-0.010833158747122654
-0.10500000000000026,-0.011666078270436206
-0.11250000000000027,-0.012498953273605541
-0.12000000000000027,-0.01333178073578832
-0.12750000000000028,-0.014164557635950911
-0.1350000000000003,-0.014997280952912643
-0.1425000000000003,-0.015829947665390094
-0.1500000000000003,-0.016662554752041384
-0.1575000000000003,-0.017495099191510512
-0.1650000000000003,-0.018327577962471683
-0.17250000000000032,-0.01915998804367368
-0.18000000000000033,-0.01999232641398423
-0.18750000000000033,-0.020824590052434408
-0.19500000000000034,-0.021656775938263033
-0.20250000000000035,-0.022488881050961078
-0.21000000000000035,-0.0233209023703161
-0.21750000000000036,-0.024152836876456692
-0.22500000000000037,-0.024984681549896894
-0.23250000000000037,-0.025816433371580665
-0.24000000000000032,-0.026648089322926314
-0.2475000000000004,-0.027479644468501558
-0.25500000000000045,-0.028311095774772366
-0.26250000000000007,-0.02914244020893694
-0.25500000000000006,-0.02830921491047473
-0.24750000000000005,-0.027476501243330502
-0.24000000000000005,-0.026643788133427996
-0.23250000000000004,-0.02581107558151962
-0.22500000000000003,-0.024978363588330627
-0.21750000000000003,-0.02414565215455888
-0.21000000000000002,-0.023312941280874626
-0.2025,-0.022480230967920255
-0.195,-0.02164752121631008
-0.1875,-0.020814812026630117
-0.18,-0.019982103399437845
-0.1725,-0.019149395335262002
-0.16499999999999998,-0.01831668783460235
-0.15749999999999997,-0.017483980897929467
-0.14999999999999997,-0.016651274525684514
-0.14249999999999996,-0.015818568718279045
-0.13499999999999995,-0.014985863476094768
-0.12749999999999995,-0.014153158799483357
-0.11999999999999994,-0.013320454688766227
-0.11249999999999993,-0.012487751144234336
-0.10499999999999993,-0.011655048166147979
-0.09749999999999992,-0.010822345754736583
-0.08999999999999991,-0.00998964391019851
-0.0824999999999999,-0.009156942632700856
-0.0749999999999999,-0.00832424192237927
-0.0674999999999999,-0.007491541779337732
-0.05999999999999989,-0.006658842203648396
-0.05249999999999988,-0.005826143195351378
-0.04499999999999987,-0.00499344475445458
-0.03749999999999987,-0.0041607468809335075
-0.02999999999999986,-0.003328049574731084
-0.022499999999999853,-0.0024953528357574803
-0.014999999999999847,-0.0016626566638899341
-0.00749999999999984,-0.0008299610589725785
0.0,2.73397916900527e-06
0.0075000000000000015,0.0008354286447556086
0.015000000000000003,0.0016686385128221214
0.022500000000000006,0.0025018400355678455
0.030000000000000006,0.003335030198002924
0.037500000000000006,0.004168205984421483
0.04500000000000001,0.0050013643784455036
0.05250000000000001,0.005834502363068726
0.06000000000000001,0.006667616920700607
0.06750000000000002,0.007500705033210299
0.07500000000000001,0.008333763681970674
0.08250000000000002,0.009166789847902387
0.09000000000000002,0.009999780511517961
0.09750000000000002,0.010832732652965912
0.10500000000000002,0.011665643252074897
0.11250000000000002,0.0124985092883979
0.12000000000000002,0.013331327741256446
0.12750000000000003,0.014164095589784813
0.13500000000000004,0.014996809812974318
0.14250000000000002,0.015829467389717577
0.15000000000000002,0.016662065298852835
0.15750000000000003,0.017494600519208252
0.16500000000000004,0.018327070029646262
0.17250000000000004,0.019159470809107945
0.18000000000000005,0.01999179983665738
0.18750000000000003,0.020824054091526028
0.19500000000000003,0.021656230553157168
0.20250000000000004,0.022488326201250266
0.21000000000000005,0.023320338015805415
0.21750000000000005,0.024152262977167768
0.22500000000000003,0.024984098066071957
0.23250000000000004,0.02581584026368654
0.24000000000000005,0.02664748655165847
0.24750000000000005,0.027479033912157492
0.25500000000000006,0.028310479327920638
0.26250000000000007,0.02914181978229663
0.2700000000000001,0.029973052259290364
0.2775000000000001,0.030804173743607326
0.28500000000000003,0.0316351751176929
0.29250000000000004,0.03246605319146135
0.30000000000000004,0.03329680477413443
0.29250000000000004,0.03246359930863926
0.28500000000000003,0.031630910027251866
0.2775,0.030798221427255894
0.27,0.029965533509740495
0.2625,0.029132846275762816
0.255,0.028300159726347692
0.2475,0.027467473862487383
0.24,0.026634788685141256
0.23249999999999998,0.025802104195235515
0.22499999999999998,0.024969420393662886
0.21749999999999997,0.024136737281282364
0.20999999999999996,0.023304054858918906
0.20249999999999996,0.022471373127363154
0.19499999999999995,0.021638692087371156
0.18749999999999994,0.02080601173966409
0.17999999999999994,0.019973332084927974
0.17249999999999993,0.019140653123813415
0.16499999999999992,0.01830797485693532
0.15749999999999992,0.01747529728487263
0.1499999999999999,0.016642620408168066
0.1424999999999999,0.015809944227327843
0.1349999999999999,0.014977268742821421
0.1274999999999999,0.014144593955081247
0.11999999999999988,0.013311919864502492
0.11249999999999988,0.0124792464714428
0.10499999999999987,0.011646573776222035
0.09749999999999986,0.010813901779122032
0.08999999999999986,0.009981230480386353
0.08249999999999985,0.009148559880220042
0.07499999999999984,0.008315889978789385
0.06749999999999984,0.007483220776221673
0.05999999999999983,0.006650552272604967
0.052499999999999825,0.005817884467987864
0.04499999999999982,0.004985217362379277
0.03749999999999981,0.004152550955748196
0.029999999999999805,0.0033198852480234796
0.022499999999999798,0.0024872202390936278
0.014999999999999791,0.0016545559288065697
0.007499999999999785,0.0008218923169694496
-2.220446049250313e-16,-1.077059642340698e-05
-0.007500000000000229,-0.0008434379964121655
-0.015000000000000235,-0.0016766203927953442
-0.022500000000000242,-0.002509794266909995
-0.03000000000000025,-0.0033429566041374096
-0.037500000000000255,-0.004176104389156353
-0.04500000000000026,-0.005009234605986948
-0.05250000000000027,-0.005842344238034618
-0.060000000000000275,-0.0066754302681340544
-0.06750000000000028,-0.007508489678593229
-0.07500000000000029,-0.008341519451237435
-0.0825000000000003,-0.009174516567453364
-0.0900000000000003,-0.010007478008233215
-0.09750000000000031,-0.01084040075421882
-0.10500000000000032,-0.011673281785745827
-0.11250000000000032,-0.012506118082887874
-0.12000000000000033,-0.01333890662550081
-0.12750000000000034,-0.014171644393266946
-0.13500000000000034,-0.0150043283657393
-0.14250000000000035,-0.015836955522385895
-0.15000000000000036,-0.016669522842634052
-0.15750000000000036,-0.017502027305914714
-0.16500000000000037,-0.018334465891706776
-0.17250000000000038,-0.019166835579581452
-0.18000000000000038,-0.01999913334924662
-0.1875000000000004,-0.020831356180591218
-0.1950000000000004,-0.021663501053729606
-0.20250000000000035,-0.022495564949045976
-0.2100000000000004,-0.02332754484723878
-0.21750000000000047,-0.024159437729365088
-0.22500000000000042,-0.024991240576885017
-0.23250000000000037,-0.025822950371706184
-0.24000000000000044,-0.026654564096228097
-0.2475000000000005,-0.027486078733386547
-0.25500000000000045,-0.028317491266698053
-0.2625000000000004,-0.02914879868030429
-0.27000000000000046,-0.02997999795901647
-0.2775000000000005,-0.030811086088359755
-0.2850000000000005,-0.031642057805087574
-0.2925000000000004,-0.03247291007830965
-0.30000000000000004,-0.03330363987813893
-0.29250000000000004,-0.032470445716142306
-0.28500000000000003,-0.03163776192261378
-0.2775,-0.030805078855244257
-0.27,-0.029972396515195013
-0.2625,-0.02913971490359318
-0.255,-0.02830703402153144
-0.2475,-0.027474353870067716
-0.24,-0.02664167445022486
-0.23249999999999998,-0.025808995762990342
-0.22499999999999998,-0.024976317809315935
-0.21749999999999997,-0.024143640590117428
-0.20999999999999996,-0.0233109641062743
-0.20249999999999996,-0.022478288358629438
-0.19499999999999995,-0.02164561334798883
-0.18749999999999994,-0.020812939075121266
-0.17999999999999994,-0.01998026554075804
-0.17249999999999993,-0.019147592745592672
-0.16499999999999992,-0.018314920690280612
-0.15749999999999992,-0.017482249375438942
-0.1499999999999999,-0.01664957880164611
-0.1424999999999999,-0.015816908969441625
-0.1349999999999999,-0.01498423987932581
-0.1274999999999999,-0.014151571531759487
-0.11999999999999988,-0.013318903927163735
-0.11249999999999988,-0.0124862370659196
-0.10499999999999987,-0.011653570948367834
-0.09749999999999986,-0.010820905574808626
-0.08999999999999986,-0.009988240945501345
-0.08249999999999985,-0.00915557706066427
-0.07499999999999984,-0.008322913920474352
-0.06749999999999984,-0.00749025152506694
-0.05999999999999983,-0.006657589874535544
-0.052499999999999825,-0.005824928968931584
-0.04499999999999982,-0.004992268808264148
-0.03749999999999981,-0.004159609392499745
-0.029999999999999805,-0.0033269507215620796
-0.022499999999999798,-0.00249429279533181
-0.014999999999999791,-0.0016616356136463207
-0.007499999999999785,-0.0008289791762994959
