% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
0.79565 0.93252 1.87330 0.14583 0.64376 0.81153 0.96056 0.43328 0.04854 4.82548 0.01387 0.00907 3.25482 0.52472 0.06344
1.11843 1.07978 1.10351 0.66249 0.42974 1.23570 0.26638 0.67189 0.00121 8.08595 1.32221 0.02083 7.98338 0.74892 0.04648
1.16819 0.98183 1.55036 0.61426 0.44434 1.13330 0.67352 0.70553 0.02787 2.31361 1.17638 0.02680 8.00862 0.29101 0.02541
0.83042 1.08110 0.68945 0.58865 0.28196 1.55552 0.81505 0.58224 0.00044 3.71514 1.12542 0.00691 1.04735 1.94996 0.04357
0.88302 0.99911 0.71558 0.44657 0.70225 1.55643 0.57684 0.67730 0.00397 3.42896 1.56520 0.00234 6.36905 0.77082 0.05335
0.70575 0.98823 1.43756 0.68811 0.89367 0.73680 0.02477 0.81933 0.00801 1.56898 0.97000 0.04414 6.53199 0.75536 0.05530
1.28316 1.08575 1.43121 0.47872 0.15265 8.68438 1.06461 0.72124 0.00054 0.34006 0.03790 0.00308 2.32992 0.71472 0.04170
0.86088 0.97973 1.65106 0.36077 0.01922 0.37544 2.24622 0.49057 0.00383 0.64001 0.10414 0.00046 1.82914 2.23346 0.03008
1.69176 1.00245 1.50773 0.23838 0.30685 8.14205 0.05836 0.99276 0.03226 0.59444 0.01478 0.01515 3.49145 0.40701 0.08043
0.86369 1.01131 0.82924 0.56093 0.37132 1.35497 0.77987 0.53788 0.01138 1.66153 0.46132 0.02274 7.68786 0.19781 0.04850
0.81865 1.09422 0.83088 0.43027 0.41067 1.51472 0.67025 0.38759 0.00006 4.55684 0.26652 0.00455 1.20763 2.36760 0.08879
0.97247 0.93562 1.21266 0.15669 0.52852 2.21643 0.89257 0.26540 0.00597 0.57087 1.11288 0.00026 1.60404 1.47987 0.07342
1.52215 1.00185 1.73500 0.36818 0.47592 0.50948 0.36160 0.93730 0.01864 8.78049 0.28777 0.00331 4.71908 0.29467 0.05908
1.44793 0.98909 1.28719 0.52359 0.53536 1.23859 1.07294 0.69251 0.01595 2.91691 0.78989 0.02172 8.59943 0.67804 0.05496
1.49187 0.99780 0.85206 0.83349 0.83054 3.26843 1.60604 0.69339 0.00560 1.38000 0.38279 0.00446 4.76049 0.61880 0.05266
