UniqueId,Name,Location,res_mean,res_median,res_std,res_max,res_min,gamma,kappa,eta1,sig,lam,mup,sigp,rsmax,alpha,alpha1,alpha2,betam1,n,kappa_k
288,"Ang et al. 1985, No. 22",3cbcbe2c-7558-4cbd-a482-11cfaedacb42-007,0.0508954098940903,0.0509924106200825,0.0015721585438556,0.0556257138689039,0.0475387774982223,0.2032871731400453,1.0274134730225968,1.4024836335465476,0.176203653995586,0.0934407795890403,3.0559860527355367,0.7837242563662424,0.7948666376552928,5.211205548228245e-05,8.3204462565612,1.1807967256209189,0.0217671045720675,1.2557163779236542,0.7788933073203658
172,"Saatcioglu and Grira 1999, BG-8",40267dcb-be3d-4295-b33e-f047ec7563bf-007,0.0363419069882619,0.036244516829907,0.0008054662719866,0.0393443845568198,0.0347501783912422,1.4336926541030477,1.028677195347432,1.894916517386932,0.525438401545463,0.5435061418487366,1.188800452758661,0.7778939943629974,0.8409102845477013,0.0005613452801518,5.857905545372735,0.5377323758167047,0.003925874106481,4.276600076807769,0.5630496479191032
21,"Tanaka and Park 1990, No. 4",42a2112a-a353-4c80-b411-1fc8f8456f4b-007,0.0586459730678631,0.0583263890964256,0.0015499379844922,0.0650183833985014,0.055437275695495,0.7622824606694739,1.000750935353675,1.873759688374637,0.4677284205530364,0.6818732119119223,1.5374494885845056,0.9298066427228132,0.9097903530956454,0.0001631427512888,2.1547303829502344,0.9327192877102374,0.0014858363832165,3.030182068717656,0.6858069091188352
329,"Arakawa et al. 1987, No. 12",494855be-b0c4-4530-b02f-52f831fbff6d-007,0.0633155769320114,0.0631034353515303,0.0018567545625029,0.0702627347420828,0.059921423397685,1.9837369850975304,1.016416886582283,1.364907254310505,0.2409836224376019,0.1967300833445176,1.9762123649418069,3.333125317705997,0.8806176059871467,8.953873897869416e-05,1.3004173091451143,0.4341764448801395,0.0471133756855056,7.554133320961697,0.4174603218820902
95,"Atalay and Penzien 1975, No. 10",4f18ae5e-e6d8-4fc9-91da-0b35c31f45d5-007,0.0481391060559047,0.0480626385902708,0.0009267041295526,0.0512663686184793,0.0464804960096075,1.118429720916926,1.0797808353911802,1.1035136819908664,0.6624882431266689,0.429744814071808,1.2356965491629597,0.2663807498730202,0.6718905372561066,0.0012067094015877,8.085945009668288,1.3222052307303802,0.0208300125487786,7.983382148167422,0.748924766857536
363,"Vu et al. 1998, NH4",4fe4d7b9-ca65-4444-bba9-7e335d2ec60e-007,0.0427203850387468,0.042612354996144,0.0006880510800439,0.045877596088573,0.0409957196515003,1.2622532239084,1.0776243510451653,1.8029779518955724,0.4089447135707802,0.5591957016770115,0.4877402720925243,0.4642109825401565,0.9527826987968896,0.0009254045036983,5.561157655371601,1.6885462069592625,0.0050546468005148,3.5875190583829006,0.3892229276034605
102,"Azizinamini et al. 1988, NC-2",531e0646-38fa-4b75-9563-ba2b6c53fbb8-007,0.0554139414882425,0.0553302941893305,0.0012701785409853,0.0606769622049264,0.0530640256228173,0.5107874698037683,1.0509925332521677,1.143269695981713,0.6004986844399176,0.6041732464874814,1.470589049082068,0.2733363112635484,0.838345683653881,0.0013731015194923,6.524765772164863,0.0134496059955127,0.0061618941396549,6.678031550638353,0.6930261007795282
266,"Potangaroa et al. 1979, No. 5B",5524b2aa-0c0c-4fed-b45e-d66debc2cf3a-007,0.0496460458154447,0.0491164419682775,0.0028517430280159,0.0633586494155907,0.0451486710275655,1.5252849826803216,0.9542945756817844,1.912632880561228,0.3430954472518485,0.1351318193319285,1.38537773156946,4.291493140082361,0.7697487389958444,0.0170598496813433,5.043173903345013,1.98119707719812,0.0092507930394275,1.8099863293421776,0.3581902827443479
226,"Paultre et al., 2001, No. 1006052",552ac52a-53c1-4c89-80fc-52bb122e5269-007,0.0861406939183379,0.0853425478487873,0.003630846262131,0.1127042487673623,0.0805323454271312,0.870601881157366,1.0739577274682297,0.64377417558184,0.8639387221332637,0.5875587924260277,2.2466784088159555,0.4005250451459197,0.666112450391735,0.0005660460345555,9.96496506560764,0.3162874073362257,0.0158565875088498,3.408329394681696,2.160905711574433
270,"Ang et al. 1985, No. 4",5b7de272-fc62-4455-bc8b-d6784820abce-007,0.0427503798308121,0.042102193949577,0.0026846952988208,0.0524499988611783,0.0377775652110473,0.1524841536754516,0.964269445070349,1.480794945616289,0.1369785839161989,0.1106714714839627,3.259623681328009,2.094222612624774,0.8191167160073033,0.0229213427352955,6.155430884707257,0.104666457711391,0.0140244760766061,1.9189809188334623,1.4591345264237734
