ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm5,sf_0.5,0.0372866,0.069101,0.0902055,0.100174,0.107065,0.0989993,0.0791366,0.0863414,0.0952847,0.0893154,0.079155,0.0783161,0.103665,0.0780141,0.0640439,0.0540797,0.0513543,0.0530441,0.0514543,0.0539874,0.0550568,0.0499293,0.0456339,0.0425569,0.0403112,0.0384228,0.035598,0.0333792,0.0312646,0.0305941,0.0297768,0.0292456,0.028862,0.0286056,0.0282608,0.0281245,0.0281061,0.0282421,0.0285214,0.0289766,0.0300453,0.0313099,0.0335453,0.0349947,0.0366882,0.0386419,0.0427641,0.0459223,0.0489469,0.0518867,0.0553125,0.057635,0.0600724,0.0626595,0.0653065,0.0690304,0.0712736,0.0737036,0.0757755,0.0773966,0.0789266,0.0795149,0.080052,0.0805027,0.0819139
gm5,sf_1.0,0.109774,0.184085,0.218419,0.259934,0.275987,0.272281,0.255394,0.25832,0.249712,0.209646,0.189481,0.172795,0.224079,0.169158,0.140845,0.115636,0.095296,0.0993644,0.102556,0.104757,0.104763,0.0942278,0.0850504,0.0814411,0.0822232,0.0820157,0.0783584,0.0747373,0.0711049,0.0676748,0.0653356,0.0637468,0.0623606,0.0610604,0.0599372,0.0596073,0.0598407,0.0601537,0.060545,0.0606839,0.0615911,0.0639156,0.0691808,0.0730604,0.0773304,0.0820371,0.0900282,0.0963114,0.102571,0.108902,0.116458,0.121383,0.126402,0.131571,0.136762,0.144002,0.148263,0.152095,0.155284,0.157784,0.160461,0.161761,0.163072,0.164285,0.163247
gm5,sf_2.0,0.206386,0.366847,0.430612,0.46984,0.468912,0.459837,0.466959,0.463756,0.463208,0.425058,0.385861,0.357438,0.446951,0.34006,0.291567,0.269795,0.247959,0.25486,0.255325,0.249321,0.245254,0.216586,0.197039,0.185929,0.180626,0.17617,0.170488,0.16708,0.165729,0.164191,0.161845,0.160199,0.160202,0.160726,0.161429,0.163076,0.164925,0.167076,0.170002,0.171512,0.173141,0.175393,0.182636,0.187721,0.193526,0.200071,0.211276,0.220024,0.228728,0.237637,0.248596,0.255939,0.263531,0.271439,0.279391,0.290378,0.29665,0.302299,0.307215,0.311295,0.314894,0.315493,0.315677,0.316061,0.315874
gm5,sf_3.0,0.274891,0.458847,0.517269,0.546078,0.528723,0.533642,0.589034,0.584304,0.569842,0.544489,0.525131,0.461482,0.59319,0.457156,0.40906,0.368437,0.362978,0.38222,0.377697,0.365647,0.357515,0.30821,0.282396,0.266678,0.263485,0.258908,0.248103,0.239544,0.23154,0.227883,0.227124,0.226861,0.227425,0.229064,0.231346,0.233571,0.236488,0.241064,0.249842,0.255286,0.261207,0.268155,0.280617,0.290321,0.300869,0.312485,0.331434,0.346586,0.361467,0.377495,0.398296,0.411931,0.425846,0.440075,0.454258,0.474061,0.485629,0.496208,0.505313,0.512463,0.519275,0.522207,0.525306,0.527737,0.528033
gm6,sf_0.5,0.0275937,0.044121,0.0568771,0.0593927,0.0694692,0.0669739,0.0478864,0.055234,0.060669,0.0564094,0.0530662,0.0565738,0.0702606,0.0548479,0.0488438,0.0461292,0.0418828,0.0408034,0.0396083,0.0395789,0.0388339,0.0362385,0.0356965,0.0354231,0.035579,0.0355562,0.0354679,0.0352563,0.0349746,0.0347142,0.0344199,0.0342013,0.0341257,0.0342124,0.0343087,0.0345314,0.0350888,0.0358458,0.0370622,0.0378202,0.0388381,0.0402617,0.0427426,0.0443234,0.0461797,0.0484,0.0526141,0.055883,0.0591517,0.0625056,0.0665922,0.0693662,0.0723247,0.0756137,0.0789699,0.0837247,0.0865569,0.0891652,0.0914314,0.0933407,0.0952756,0.0958379,0.0962869,0.0967136,0.0975009
gm6,sf_1.0,0.0554062,0.0753099,0.107183,0.132021,0.132052,0.123312,0.155397,0.172653,0.176569,0.147264,0.118728,0.0930246,0.104765,0.080452,0.0716419,0.0727463,0.0665302,0.0658511,0.0693999,0.0708845,0.0715774,0.0661543,0.0614286,0.0620334,0.0632774,0.0640406,0.0633794,0.0621943,0.0608842,0.0594779,0.0575516,0.0562574,0.0552856,0.0549083,0.0545549,0.0545574,0.0550486,0.0561974,0.0581582,0.0596796,0.061761,0.0642734,0.068871,0.0723037,0.0761949,0.0805778,0.0881605,0.0947199,0.101248,0.107875,0.116228,0.122189,0.128232,0.13438,0.140468,0.149043,0.154206,0.158962,0.163003,0.166258,0.16966,0.170656,0.171244,0.171735,0.171411
gm6,sf_2.0,0.15244,0.209688,0.226983,0.243923,0.266977,0.272121,0.283639,0.31415,0.321449,0.278695,0.23369,0.191209,0.201924,0.180058,0.179009,0.178192,0.171413,0.169573,0.166911,0.16337,0.160957,0.157272,0.1535,0.150311,0.147778,0.148592,0.144905,0.14087,0.136689,0.132305,0.128197,0.127023,0.126292,0.126512,0.127152,0.127821,0.128826,0.130301,0.13795,0.143044,0.14852,0.154783,0.165628,0.172521,0.1802,0.188763,0.203321,0.214505,0.22557,0.236787,0.250333,0.259375,0.268643,0.278259,0.287886,0.301212,0.309037,0.316078,0.322167,0.327269,0.332326,0.333646,0.334007,0.334265,0.328521
gm6,sf_3.0,0.249568,0.385156,0.441283,0.491142,0.53319,0.548549,0.489512,0.490294,0.510565,0.491766,0.462779,0.393744,0.415324,0.357545,0.339893,0.321092,0.296587,0.292781,0.284453,0.27833,0.277332,0.270407,0.262321,0.255115,0.248101,0.243446,0.235248,0.228799,0.222484,0.216169,0.208582,0.209068,0.210787,0.213474,0.216818,0.219614,0.223422,0.228021,0.235421,0.239937,0.244986,0.25094,0.261095,0.267339,0.274525,0.282855,0.298529,0.310691,0.322781,0.335035,0.356034,0.371097,0.3864,0.402061,0.417601,0.43923,0.452085,0.463744,0.473823,0.482034,0.49003,0.492448,0.493708,0.494588,0.491964
gm7,sf_0.5,0.092465,0.21316,0.27925,0.34037,0.368118,0.366959,0.34686,0.332747,0.325365,0.284557,0.246885,0.181265,0.205149,0.145436,0.130997,0.114507,0.103489,0.108492,0.108638,0.108085,0.108652,0.10012,0.0944724,0.0901944,0.0873565,0.084165,0.077831,0.0732882,0.0692479,0.0654916,0.0641253,0.0636874,0.0634939,0.0636287,0.0637947,0.0641524,0.0647467,0.0657659,0.0675722,0.0687458,0.07016,0.0719335,0.0750614,0.0770233,0.0792876,0.0817896,0.085866,0.0892338,0.0933244,0.0986415,0.104926,0.109086,0.113402,0.117917,0.122552,0.129253,0.133313,0.136999,0.140042,0.142307,0.144433,0.145414,0.146652,0.147807,0.152315
gm7,sf_1.0,0.324831,0.545515,0.616846,0.655823,0.655905,0.655427,0.657203,0.657574,0.669564,0.620287,0.583034,0.529947,0.631328,0.488841,0.423953,0.370869,0.342444,0.348106,0.340236,0.331997,0.330398,0.30574,0.291111,0.279525,0.271278,0.261733,0.24366,0.230448,0.218151,0.206541,0.196347,0.190406,0.185341,0.181191,0.176157,0.173282,0.170877,0.169116,0.166679,0.165707,0.165128,0.165131,0.166441,0.168406,0.171086,0.174676,0.181803,0.187263,0.194259,0.2045,0.216855,0.224986,0.233306,0.241764,0.250058,0.261121,0.267264,0.272812,0.277799,0.282136,0.285269,0.284336,0.281842,0.280171,0.272292
