ground_motion,scale_factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
gm5,sf_2.0,0.398891,0.872744,1.00994,1.06614,1.03682,1.03136,1.11599,1.11179,1.08012,0.935817,0.874561,0.840747,1.16441,0.938537,0.889892,0.823903,0.788086,0.901681,0.980824,1.0471,1.09415,0.936424,0.905015,0.913684,1.12905,1.30277,1.4992,1.46751,1.42165,1.36863,1.28199,1.16166,1.07251,1.0634,0.949657,0.953578,0.945528,1.0121,0.999379,0.978546,0.929045,0.961009,0.995001,0.978519,1.01636,1.13865,1.38939,1.37392,1.30193,1.17581,0.899662,0.751057,0.721099,0.840286,0.985722,1.17621,1.2669,1.34312,1.50763,1.66214,1.66035,1.43176,1.13277,0.950833,0.391974
gm5,sf_3.0,0.576848,1.22726,1.40962,1.48369,1.43352,1.43482,1.62028,1.64147,1.62936,1.44048,1.34051,1.31835,1.71674,1.34237,1.21312,1.09539,1.10066,1.26206,1.34908,1.45167,1.544,1.36795,1.32998,1.42396,1.63324,1.7834,1.93369,1.84397,1.75161,1.66666,1.57261,1.44825,1.36862,1.40048,1.32201,1.36112,1.38016,1.49481,1.4816,1.44225,1.35379,1.3898,1.38811,1.38229,1.46087,1.62156,1.77921,1.63645,1.52491,1.42166,1.33021,1.39377,1.48181,1.72586,1.98755,2.28939,2.33587,2.27542,2.40911,2.48572,2.04504,1.66877,1.25473,1.07126,0.597249
gm6,sf_0.5,0.0537205,0.077524,0.0935248,0.109855,0.112604,0.103582,0.0991322,0.114566,0.124176,0.113766,0.0990594,0.096394,0.137107,0.100881,0.0869296,0.0710436,0.0587577,0.0796605,0.0901727,0.0962817,0.106887,0.107535,0.106277,0.112184,0.130761,0.145881,0.168841,0.163986,0.151071,0.131932,0.1108,0.0964967,0.0883868,0.0899802,0.0852531,0.0896746,0.0938273,0.105615,0.103634,0.0978991,0.0898689,0.091744,0.0879924,0.0846705,0.0885198,0.106505,0.145567,0.157473,0.168683,0.173998,0.156125,0.139018,0.113878,0.0972071,0.079135,0.124864,0.155434,0.187143,0.215021,0.221537,0.183471,0.156912,0.11937,0.104162,0.0613618
gm6,sf_1.0,0.0957349,0.166928,0.236869,0.282226,0.280687,0.268687,0.338093,0.376977,0.38991,0.335728,0.274294,0.214483,0.287273,0.207399,0.171414,0.136158,0.117337,0.150464,0.171966,0.194988,0.225154,0.247455,0.235057,0.233261,0.259044,0.314739,0.429411,0.447048,0.442899,0.410923,0.328948,0.259033,0.205216,0.193298,0.195508,0.218238,0.236133,0.268521,0.260931,0.240816,0.215743,0.225743,0.22031,0.222939,0.249968,0.304418,0.410264,0.419861,0.406388,0.368251,0.312317,0.291079,0.27785,0.293835,0.296332,0.207894,0.256315,0.344898,0.412169,0.429944,0.294981,0.225929,0.188424,0.193008,0.12275
gm6,sf_2.0,0.28665,0.354306,0.467192,0.5279,0.522846,0.514708,0.551353,0.616498,0.637464,0.559298,0.469132,0.397858,0.512027,0.393955,0.356459,0.320009,0.319048,0.365336,0.380429,0.437186,0.490666,0.514118,0.525809,0.556521,0.626796,0.671253,0.836327,0.907505,0.926019,0.880808,0.735325,0.610849,0.514448,0.46568,0.478201,0.522238,0.548207,0.601776,0.550131,0.495856,0.423459,0.408669,0.425217,0.396809,0.392758,0.457843,0.627159,0.63117,0.600004,0.593858,0.568095,0.594586,0.582099,0.601933,0.646088,0.768496,0.81426,0.823323,0.794819,0.802853,0.78292,0.675527,0.539567,0.477284,0.275224
gm6,sf_3.0,0.468007,0.567455,0.723117,0.806181,0.802204,0.82177,0.850908,0.8787,0.855795,0.722985,0.641939,0.667556,0.899485,0.674443,0.587743,0.509282,0.498972,0.579416,0.603906,0.623203,0.648641,0.591746,0.572704,0.60253,0.711755,0.819881,1.00595,0.991375,0.994106,0.969592,0.818993,0.675621,0.628237,0.641703,0.58751,0.590457,0.589222,0.63821,0.644138,0.622798,0.575094,0.570783,0.648465,0.645781,0.6547,0.706139,0.822828,0.865498,0.872217,0.863245,0.770215,0.748536,0.698174,0.703675,0.758206,0.835784,0.98612,1.13779,1.25463,1.35949,1.04957,0.843248,0.658287,0.566209,0.289082
gm7,sf_0.5,0.168581,0.467161,0.61626,0.744832,0.800257,0.797683,0.761098,0.740078,0.735808,0.663477,0.596312,0.474167,0.627724,0.469032,0.396112,0.329412,0.292549,0.334157,0.360212,0.41966,0.476929,0.501381,0.499406,0.533797,0.634197,0.726207,1.01318,1.12122,1.19035,1.18999,1.0697,0.915378,0.777573,0.69175,0.548655,0.558352,0.570637,0.624465,0.619349,0.596295,0.554301,0.561305,0.542409,0.551404,0.588414,0.680589,0.874671,0.934819,0.973859,0.954967,0.88812,0.845358,0.761311,0.716521,0.659532,0.797688,0.920599,1.00129,1.00301,0.919374,0.72047,0.606686,0.472934,0.395977,0.188399
gm7,sf_1.0,0.543454,1.07394,1.23355,1.35013,1.33546,1.34663,1.34508,1.32578,1.33621,1.24883,1.2127,1.19927,1.55491,1.19088,1.06743,0.951941,0.91927,1.03484,1.08559,1.14143,1.25052,1.26434,1.24449,1.30079,1.49079,1.6477,1.88039,1.83722,1.79374,1.78577,1.63689,1.44825,1.35592,1.40196,1.34162,1.38509,1.39679,1.50069,1.45023,1.39013,1.27834,1.28726,1.25303,1.20252,1.20982,1.33658,1.69051,1.72006,1.64791,1.5387,1.37016,1.31114,1.22256,1.32923,1.47341,1.64736,1.95939,2.31272,2.63621,2.76803,2.24868,1.84768,1.42017,1.16314,0.47861
gm7,sf_2.0,1.52487,2.54171,2.79667,2.93929,2.8645,2.80795,2.71594,2.62595,2.65025,2.52276,2.53503,2.55761,3.25045,2.50992,2.30576,2.14411,2.04624,2.22702,2.29301,2.43095,2.63421,2.53905,2.48425,2.54693,2.78727,2.95255,3.26169,3.20812,3.1303,3.02427,2.88646,2.70672,2.60507,2.70263,2.57295,2.63784,2.65088,2.85369,2.87876,2.84896,2.71294,2.79247,2.73561,2.63948,2.65135,2.90014,3.46876,3.55235,3.53663,3.43253,3.18537,3.18282,3.13799,3.39116,3.74862,4.43965,5.08123,5.72931,6.16982,6.22422,4.99174,4.01387,3.04087,2.49782,1.1233
gm7,sf_3.0,2.66182,5.00171,5.21834,5.43541,5.63375,5.86766,5.47951,5.05497,4.96137,4.77869,4.83777,4.4569,5.26344,4.04626,3.76965,3.61652,3.41072,3.58054,3.65804,3.94213,4.29013,4.17126,4.10098,4.1841,4.53354,4.7674,5.26468,5.22478,5.1204,4.99937,4.78912,4.51903,4.34648,4.46695,4.51248,4.76731,4.84095,5.10552,4.75037,4.64501,4.36559,4.49944,4.581,4.55618,4.6841,5.15179,6.06158,6.21565,6.22402,6.22239,6.53377,6.98353,7.26792,8.03101,8.86203,10.1544,10.9873,11.5892,11.7894,11.448,9.01272,7.24046,5.45948,4.42246,1.80149
gm8,sf_0.5,0.0414134,0.124748,0.200893,0.258294,0.278657,0.272357,0.294338,0.323456,0.343181,0.312047,0.273421,0.25536,0.347842,0.250981,0.202508,0.160824,0.153853,0.20604,0.240568,0.267852,0.285469,0.224619,0.188761,0.191468,0.211344,0.234267,0.331617,0.328388,0.343897,0.346638,0.309174,0.259163,0.217335,0.196593,0.215011,0.257486,0.297966,0.355131,0.364215,0.336706,0.290053,0.26601,0.244473,0.244113,0.248932,0.270842,0.352995,0.391886,0.40886,0.401004,0.34634,0.311675,0.267305,0.263207,0.266004,0.267266,0.311311,0.385938,0.436309,0.485796,0.39685,0.302716,0.216073,0.196122,0.0975963
gm8,sf_1.0,0.146087,0.395887,0.513809,0.604535,0.634387,0.643593,0.629904,0.61621,0.598413,0.528493,0.468819,0.446359,0.661825,0.532005,0.473747,0.40453,0.360442,0.422551,0.467687,0.527117,0.579536,0.528307,0.533784,0.546518,0.60946,0.660057,0.814792,0.840976,0.846124,0.816447,0.711234,0.600333,0.509111,0.462454,0.394548,0.429839,0.472413,0.53491,0.49929,0.469604,0.473566,0.53449,0.630631,0.648981,0.682188,0.759069,0.864055,0.798723,0.709314,0.639667,0.575411,0.554746,0.530273,0.55804,0.592095,0.610827,0.653412,0.710726,0.737006,0.706081,0.664231,0.560399,0.434994,0.363864,0.176072
gm8,sf_2.0,0.375248,0.86008,1.04815,1.21086,1.2569,1.23017,1.12431,1.06075,1.04328,0.996259,0.960157,0.898391,1.15704,0.875494,0.778473,0.701249,0.69945,0.827281,0.910596,1.01072,1.10985,1.06683,0.993587,0.954414,1.00077,1.10567,1.39626,1.48094,1.55667,1.58407,1.49494,1.33228,1.19556,1.15486,1.01886,1.01714,1.00143,1.05495,0.980797,0.925238,0.849964,0.867534,0.896509,0.912961,0.973,1.11212,1.3537,1.30005,1.1735,1.02447,1.01658,1.0565,1.05694,1.29038,1.51702,1.89448,2.17304,2.39292,2.48587,2.41598,1.93107,1.64216,1.31869,1.12865,0.489239
gm8,sf_3.0,0.565717,1.28689,1.42907,1.49968,1.57628,1.58576,1.53156,1.48983,1.49549,1.40492,1.38248,1.36839,1.7299,1.25814,1.05837,1.01734,1.07513,1.25532,1.35688,1.44485,1.55611,1.51131,1.43353,1.41373,1.5209,1.60563,1.75884,1.73528,1.72344,1.68559,1.55589,1.38705,1.26024,1.25877,1.22779,1.31319,1.3702,1.50841,1.48262,1.4381,1.34825,1.38892,1.46368,1.43591,1.50208,1.67978,1.96385,1.84189,1.6217,1.36033,1.35249,1.41849,1.44202,1.55943,1.64801,2.29964,2.74844,3.12138,3.3154,3.27842,2.61976,2.27738,1.87186,1.63546,0.729723
gm9,sf_0.5,0.104076,0.293136,0.397224,0.470078,0.479992,0.454362,0.441019,0.454922,0.46772,0.422401,0.38034,0.355631,0.467166,0.348043,0.283769,0.223972,0.18981,0.215283,0.230076,0.25179,0.296028,0.337495,0.353183,0.391063,0.469602,0.540275,0.732996,0.786274,0.793297,0.744915,0.597266,0.466107,0.385186,0.376755,0.358831,0.383191,0.399738,0.439468,0.413985,0.375097,0.339818,0.350044,0.358008,0.372824,0.421915,0.523637,0.749047,0.799954,0.798588,0.742406,0.562494,0.448353,0.406338,0.436238,0.506449,0.574411,0.626739,0.696359,0.762916,0.843449,0.730823,0.608656,0.47667,0.404143,0.185681
gm9,sf_1.0,0.377103,1.01921,1.22294,1.36092,1.37352,1.33802,1.28648,1.27516,1.30389,1.22041,1.17413,1.11576,1.42576,1.07232,0.924036,0.790206,0.713637,0.7878,0.829744,0.898115,0.98076,0.976257,0.969329,1.02762,1.19241,1.34414,1.59472,1.59336,1.55681,1.47355,1.30874,1.16285,1.06609,1.0742,1.00999,1.04224,1.05813,1.14598,1.11125,1.06113,0.974503,0.975279,0.938918,0.924926,0.971592,1.11777,1.43185,1.4458,1.35309,1.15185,0.899212,0.957752,0.942787,0.950419,0.986805,1.01508,1.35416,1.66289,1.85194,1.91913,1.42979,1.14579,0.863509,0.694942,0.262243
gm9,sf_2.0,0.75929,1.70027,2.01945,2.2649,2.33843,2.34809,2.23472,2.16007,2.19224,2.12023,2.15568,2.24097,2.88804,2.21102,1.99788,1.81196,1.74241,1.92992,2.00909,2.11387,2.23994,2.01087,1.85025,1.80727,1.95803,2.13367,2.49613,2.54231,2.55675,2.45157,2.16759,1.8808,1.64275,1.57381,1.53241,1.61828,1.6699,1.8223,1.76417,1.67505,1.51758,1.49483,1.50017,1.54307,1.62629,1.80177,1.99457,2.00522,1.99998,2.20879,2.37822,2.42621,2.30072,2.26088,2.18228,2.51585,2.77404,2.94204,2.94985,2.76003,2.14323,1.71898,1.32455,1.17363,0.644945
gm9,sf_3.0,1.1701,2.16981,2.37899,2.49571,2.60319,2.6465,2.7062,2.62809,2.63836,2.48737,2.5538,2.82348,3.6063,2.79451,2.5931,2.42919,2.41291,2.67217,2.7769,2.91723,3.06676,2.63173,2.33412,2.16777,2.36742,2.55374,2.99923,3.15189,3.23551,3.19085,2.95914,2.64789,2.39813,2.49764,2.40528,2.44268,2.38028,2.44198,2.28618,2.21412,2.06246,2.09313,2.17759,2.23289,2.30273,2.47369,2.78017,2.81655,2.97224,3.22803,3.34268,3.37064,3.20423,3.19672,3.24052,3.85545,4.11624,4.20439,4.04917,3.67384,3.04735,2.57488,2.13033,1.91632,0.965146
