% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
1.43281 1.09808 1.25248 0.40861 0.24271 0.99195 0.49609 0.66247 0.00005 5.46108 1.80273 0.01324 1.41269 0.50686 0.10137
0.13438 0.93988 1.08170 0.31714 0.31770 1.18791 0.76344 0.69657 0.00011 5.12241 0.31644 0.00142 2.33968 1.03284 0.02895
0.49934 1.06328 1.20886 0.51208 0.61336 3.27398 0.87046 0.80291 0.00028 3.33335 1.60873 0.04241 1.54587 3.57704 0.05423
0.20141 0.92282 1.84915 0.17460 0.37176 5.00991 4.00407 0.78876 0.02767 9.03156 0.41524 0.00539 2.26023 0.70514 0.04915
0.17717 0.96432 0.58978 0.91310 0.03206 2.17193 0.88050 0.99635 0.01558 4.14453 0.31675 0.00676 4.95208 0.96827 0.03542
1.63299 1.08101 1.05420 0.24966 0.87643 5.15464 6.77921 0.86043 0.02250 1.37068 0.02270 0.00683 1.96855 0.64833 0.07126
0.13469 0.98208 1.40591 0.54494 0.61590 4.01332 1.94440 0.73672 0.00045 2.18465 0.58094 0.00071 2.50051 1.31712 0.03739
1.97125 0.95122 1.97523 0.45769 0.47944 0.95186 1.19246 0.80103 0.01336 2.49404 0.19204 0.00991 6.68322 0.56914 0.05217
1.22287 0.91013 1.68577 0.51573 0.20011 1.24961 1.29923 0.71408 0.00572 2.27028 0.86402 0.00138 1.23684 2.55525 0.03615
1.00573 1.09944 0.74226 0.77687 0.46934 1.56318 0.47828 0.75392 0.01062 8.08146 0.75229 0.03369 3.60706 0.93623 0.05121
1.59361 0.99743 1.64943 0.30572 0.51048 8.49660 9.65723 0.22792 0.00198 0.36659 0.13221 0.00253 2.25758 1.64729 0.05051
0.84518 1.01259 1.05913 0.57620 0.72465 2.04944 0.46394 0.95066 0.00158 9.67803 0.82770 0.00229 2.92904 0.93059 0.06781
0.30551 1.06016 1.94059 0.41516 0.16556 2.20033 0.82535 0.80990 0.00011 8.64586 1.89656 0.00110 1.38101 0.93641 0.05191
1.35075 1.07929 0.64349 0.42826 0.60469 0.85331 0.58128 0.98999 0.00128 8.97194 1.79401 0.00393 4.38786 0.26061 0.05327
0.89938 1.03617 0.50956 0.56951 0.32897 0.59889 1.54549 0.52756 0.00022 1.32329 0.51222 0.02833 2.89204 2.44254 0.05370
1.14310 1.00493 0.93255 0.71480 0.84837 1.07637 0.81761 0.93878 0.00230 3.83338 0.84776 0.00824 6.04146 0.92583 0.03857
0.44942 1.02309 1.77421 0.33488 0.44508 0.54672 3.00641 0.97361 0.00000 1.36726 0.38700 0.00080 7.70340 4.97486 0.05752
1.39744 1.04826 1.69115 0.35465 0.12328 0.01801 0.78515 0.68615 0.00782 4.79378 0.07053 0.01432 1.64595 2.19928 0.07582
0.28127 1.03394 0.64588 0.42538 0.53787 1.48907 0.76511 0.93639 0.00004 8.33626 1.09689 0.00076 3.00656 1.90976 0.07123
0.33115 0.92858 1.50333 0.37884 0.28337 2.86186 0.10309 0.76895 0.00877 9.06539 0.11913 0.00155 5.65276 0.86888 0.03393
0.29321 0.99178 1.58485 0.62031 0.81081 1.47575 0.09100 0.94676 0.00034 9.00696 0.68064 0.00006 6.44180 2.88068 0.04967
1.52215 1.00185 1.73500 0.36818 0.47592 0.50948 0.36160 0.93730 0.01864 8.78049 0.28777 0.00331 4.71908 0.29467 0.05908
0.80888 0.96822 1.99650 0.35204 0.52437 0.40713 1.53863 0.85234 0.00013 0.85966 1.25154 0.00198 3.16282 1.18692 0.04649
0.97247 0.93562 1.21266 0.15669 0.52852 2.21643 0.89257 0.26540 0.00597 0.57087 1.11288 0.00026 1.60404 1.47987 0.07342
1.11793 0.96222 1.27087 0.47373 0.65580 1.65237 0.78437 0.76832 0.00023 9.73322 0.12321 0.00033 5.23292 0.44807 0.03862
0.51055 1.04414 1.80958 0.61252 0.27059 1.69372 1.30491 0.60625 0.00002 5.34126 1.03983 0.01325 1.46271 3.30126 0.07146
1.85676 0.98898 1.33922 0.19784 0.30500 0.12818 0.09563 0.44879 0.00201 1.52619 1.06024 0.04796 4.90985 0.26284 0.07382
1.63886 1.01828 0.60394 0.42476 0.43377 1.09736 0.57956 0.65953 0.00362 4.46073 1.89665 0.01274 5.37430 0.36212 0.04084
1.79171 1.09082 0.92032 0.88552 0.88839 1.04497 1.07896 0.88366 0.00026 0.65724 0.65562 0.00892 6.71665 0.85853 0.04083
1.57552 1.05604 0.89908 0.38729 0.48467 0.20197 1.54295 0.97320 0.00222 4.02658 0.37408 0.00188 3.57150 0.38483 0.07329
1.19714 1.08093 0.54477 0.35771 0.31914 1.20260 1.37759 0.86669 0.00014 4.43724 0.95026 0.00997 9.11062 0.69067 0.04780
1.35985 0.94894 1.26868 0.48874 0.48712 1.51548 1.04261 0.87326 0.00097 8.38093 0.96378 0.00248 4.76391 0.57032 0.05269
0.29292 1.00142 1.90094 0.40038 0.50932 2.95834 1.72199 0.99462 0.00025 6.17563 0.82509 0.00014 1.27029 4.38253 0.08061
1.95396 0.98850 1.70283 0.58581 0.31093 0.42095 0.75269 0.96613 0.00071 4.76378 1.55531 0.00164 1.19786 1.81486 0.10611
1.62472 1.08991 0.70085 0.32007 0.37660 0.36617 1.05898 0.74724 0.00219 5.09623 0.51230 0.04598 2.34983 0.27283 0.06464
0.98261 1.01575 1.49868 0.31919 0.41162 0.98462 0.56256 0.74492 0.00767 7.41245 1.78819 0.00233 4.07060 0.32542 0.04698
1.90577 0.94259 1.72708 0.44618 0.64172 0.62552 0.28503 0.92724 0.00009 7.99586 1.24196 0.00031 8.60376 0.48195 0.03036
0.86088 0.97973 1.65106 0.36077 0.01922 0.37544 2.24622 0.49057 0.00383 0.64001 0.10414 0.00046 1.82914 2.23346 0.03008
1.81981 0.93056 1.81628 0.74194 0.31176 2.35128 0.03742 0.30291 0.00428 1.41464 0.28836 0.00409 1.85754 2.30607 0.07815
0.12861 0.95373 1.90067 0.45028 0.44392 1.89790 1.16926 0.91859 0.00006 5.50554 0.94696 0.00129 5.32195 0.50906 0.03373
0.32473 1.00833 0.90826 0.32429 0.30102 0.79955 0.19252 0.63031 0.00002 2.75026 0.38699 0.00028 2.47786 2.26591 0.03314
0.89294 0.97718 1.23642 0.44438 0.33975 0.81104 1.20380 0.56662 0.02108 1.23376 0.66865 0.00825 5.17215 0.76619 0.04885
1.28316 1.08575 1.43121 0.47872 0.15265 8.68438 1.06461 0.72124 0.00054 0.34006 0.03790 0.00308 2.32992 0.71472 0.04170
1.64054 1.06468 0.74788 0.84333 0.45908 0.83329 0.82683 0.94894 0.00019 2.41917 0.46328 0.00392 3.35463 2.26439 0.04487
1.44868 1.09547 0.71607 0.40972 0.62801 0.91995 0.44166 0.70632 0.00016 5.32664 0.89327 0.02218 7.37722 0.48554 0.05473
0.19636 0.96975 1.06729 0.50572 0.51429 1.95569 0.59306 0.60697 0.00332 4.06589 0.22156 0.00313 5.59048 0.29652 0.03673
1.89594 1.09667 0.99776 0.81552 0.25261 2.78138 2.87027 0.29264 0.02543 0.05457 0.93384 0.00577 1.17514 0.48095 0.06080
0.56615 1.09797 1.14623 0.29660 0.42366 0.74537 2.09147 0.90745 0.01102 3.93847 1.95874 0.02522 1.33133 1.07875 0.06602
0.51249 1.09536 1.29423 0.51115 0.63118 2.46924 0.86357 0.75153 0.00029 3.01871 1.25875 0.01808 5.63594 2.93725 0.05629
0.41015 1.08780 1.56882 0.10212 0.38975 5.24427 1.15165 0.58688 0.00191 0.57458 1.69955 0.04551 1.41483 1.83263 0.09028
0.69657 1.05952 1.33989 0.37582 0.39301 0.90748 0.76832 0.74257 0.00045 5.46895 0.90154 0.01359 8.66330 0.44619 0.04761
0.87060 1.07396 0.64377 0.86394 0.58756 2.24668 0.40053 0.66611 0.00057 9.96497 0.31629 0.01586 3.40833 2.16091 0.08053
1.25887 0.91403 1.71284 0.13078 0.40948 0.81358 1.99499 0.25709 0.00968 1.93977 0.42969 0.00027 1.81518 2.17438 0.06344
1.99548 0.94001 1.65992 0.49465 0.35365 0.78493 1.08300 0.73588 0.00355 9.75452 0.64242 0.00076 1.40443 2.24475 0.04814
1.12998 0.90813 1.94775 0.24687 0.60602 1.24047 2.79743 0.96518 0.01350 1.36034 0.50724 0.00110 3.84215 0.47801 0.06581
1.10959 0.91486 1.43854 0.22054 0.26254 1.27845 0.70091 0.51289 0.03167 2.53631 0.78562 0.00641 3.77856 0.33838 0.03977
0.81227 1.08730 1.37996 0.39822 0.43119 1.06169 0.57231 0.69524 0.01855 8.22637 1.24394 0.00839 4.33263 0.31149 0.02851
1.54207 1.00884 1.26748 0.45474 0.55807 1.35950 0.79097 0.64892 0.00092 6.79298 0.19369 0.00470 3.75762 0.65062 0.07239
1.62193 1.04061 0.62635 0.57732 0.38073 1.46342 0.56523 0.51450 0.00115 2.87914 0.18924 0.02803 6.92761 0.79508 0.06654
0.42981 1.04970 0.73885 0.43479 0.33970 1.59898 0.76761 0.77635 0.00001 8.34761 1.45869 0.00181 6.80569 0.73764 0.06878
1.11843 1.07978 1.10351 0.66249 0.42974 1.23570 0.26638 0.67189 0.00121 8.08595 1.32221 0.02083 7.98338 0.74892 0.04648
0.55993 0.90153 1.75201 0.16836 0.42723 7.25124 6.42012 0.49806 0.02915 0.45405 0.26621 0.00774 4.94830 0.69782 0.04736
1.76903 0.90508 0.92317 0.58485 0.19554 1.20005 1.36755 0.57204 0.01601 2.47593 0.41572 0.00688 2.31773 1.87494 0.04277
0.45605 1.03776 1.58549 0.54527 0.46382 0.68332 0.25843 0.98500 0.00006 7.70862 0.36648 0.00075 9.31075 2.13237 0.02999
1.52083 0.92554 0.71779 0.58641 0.19682 1.81785 0.42090 0.46260 0.00925 4.01156 0.13642 0.00506 2.53871 1.71921 0.04971
0.40909 0.90238 1.91876 0.16961 0.20541 8.36038 4.17818 0.73874 0.01647 2.25092 0.02090 0.00241 2.78672 0.65054 0.03387
1.37482 0.93121 1.98795 0.52877 0.63426 0.51612 1.02661 0.97657 0.00814 1.33843 0.57185 0.00324 5.02267 1.36872 0.04046
1.42419 0.97031 1.92808 0.55257 0.62716 1.65373 0.50733 0.87132 0.00195 5.95652 0.83090 0.00310 3.91737 0.48190 0.03888
1.51343 1.05641 1.58838 0.25543 0.47478 0.82318 1.14739 0.69133 0.00060 4.25757 0.14208 0.00957 3.47624 0.69529 0.05307
1.85355 1.08834 1.96763 0.08987 0.49055 0.38119 6.37285 0.96148 0.00753 2.45606 0.03855 0.01783 3.04496 0.38185 0.06782
0.91609 1.07499 1.20738 0.25630 0.04975 1.26889 1.05359 0.56052 0.00071 9.97054 1.89451 0.00856 1.52147 1.79610 0.07913
0.52583 1.07360 0.77583 0.32346 0.49335 1.19212 0.77006 0.70500 0.00048 5.25006 0.38993 0.00443 2.67996 0.42764 0.06325
0.28535 1.08020 1.84236 0.36976 0.38865 0.92983 0.89203 0.95683 0.00043 8.41015 1.61111 0.00541 9.10499 0.59763 0.05459
1.12256 1.00575 1.35490 0.72541 0.81134 1.21295 1.16942 0.83202 0.00477 2.15554 0.56328 0.01399 9.67991 0.75003 0.04299
1.81517 1.01070 1.89127 0.61122 0.74595 1.75666 0.19426 0.93875 0.00023 6.64715 1.59517 0.00870 2.70571 0.59524 0.06034
0.68576 0.98110 1.13172 0.42260 0.65159 0.87109 0.97315 0.67327 0.02257 1.71213 1.87874 0.00922 5.03588 1.10506 0.04749
0.88513 0.94691 1.36727 0.69261 0.85921 2.55788 1.05461 0.53489 0.00371 0.35880 0.53943 0.00061 2.33821 1.14084 0.02865
0.83329 1.04932 1.05144 0.73559 0.56109 1.57314 0.37948 0.71591 0.00223 2.68495 0.64228 0.01835 8.28657 0.72567 0.04278
0.70575 0.98823 1.43756 0.68811 0.89367 0.73680 0.02477 0.81933 0.00801 1.56898 0.97000 0.04414 6.53199 0.75536 0.05530
0.83042 1.08110 0.68945 0.58865 0.28196 1.55552 0.81505 0.58224 0.00044 3.71514 1.12542 0.00691 1.04735 1.94996 0.04357
1.67260 1.00697 1.73319 0.54085 0.35403 1.60591 0.52666 0.71175 0.00026 1.55576 1.67024 0.00185 2.25601 1.15323 0.03867
1.79287 1.09524 0.50736 0.46387 0.34894 1.57522 0.91984 0.80570 0.00012 3.89807 1.41797 0.01313 9.67177 0.57311 0.05216
1.04695 0.94381 1.83096 0.35225 0.02547 1.64279 0.42134 0.36263 0.00817 1.19500 0.26831 0.00114 1.00035 1.73204 0.04851
0.56553 0.92462 1.76928 0.15235 0.75344 1.50502 0.25190 0.91029 0.03220 6.41700 0.18183 0.00236 2.01354 0.77326 0.06822
1.70541 0.98478 1.03367 0.39835 0.48384 0.99153 1.13867 0.52236 0.00254 8.69887 0.10625 0.00588 1.39542 1.51516 0.07813
0.68095 0.98915 1.85809 0.40456 0.42977 0.92153 0.84581 0.73281 0.00015 4.88149 0.01327 0.00139 4.83226 0.71664 0.03597
0.86583 1.02718 0.54199 0.60177 0.21864 1.45774 0.61431 0.61440 0.00100 6.85093 0.44848 0.00547 2.44723 0.28274 0.04900
0.71713 1.06579 1.06191 0.67808 0.39560 1.42252 0.47705 0.62206 0.00364 3.11499 0.02526 0.03344 6.00327 0.16016 0.03458
1.11027 1.02223 0.81343 0.52532 0.48292 1.45088 0.85413 0.76469 0.00027 8.69273 1.67047 0.00381 1.68456 1.03937 0.07230
0.86369 1.01131 0.82924 0.56093 0.37132 1.35497 0.77987 0.53788 0.01138 1.66153 0.46132 0.02274 7.68786 0.19781 0.04850
1.17239 0.92333 1.91261 0.24361 0.58794 1.23706 0.43781 0.46108 0.00020 7.19844 1.74108 0.00223 6.71359 0.38182 0.06873
1.83025 0.95237 1.76365 0.62003 0.56381 2.98878 0.71985 0.07999 0.00449 0.99473 0.31623 0.00751 1.18159 2.51899 0.09813
1.49187 0.99780 0.85206 0.83349 0.83054 3.26843 1.60604 0.69339 0.00560 1.38000 0.38279 0.00446 4.76049 0.61880 0.05266
