,id,name,type,testcf,pd,ft,axl,w,d,l,fpc,fyl,fsul,fyt,fsut,dlb,dlb_c,nlb,cc_per,nib_per,cc_par,nib_par,nsl,dtb_rcs,s_rcs,ar,lrr,srr,alr,sdr,smr
28,29,"Nagasaka 1982, HPRC19-32",Rectangular,Double Cantilever,Shear provided,1,294.0,200.0,200.0,300.0,21.0,371.0,541.0,344.0,434.0,12.7,12.7,4.0,12.0,0.0,12.0,0.0,2.0,5.5,20.0,0.6666666666666666,0.22379580326806148,0.1945917449598535,0.35,1.65,0.43916086535942256
29,30,"Ohno and Nishioka 1984, L1",Rectangular,Cantilever,P Ram rotation increases V,0,127.0,400.0,400.0,1600.0,24.8,362.0,0.0,325.0,0.0,19.0,19.0,8.0,31.5,2.0,31.5,0.0,2.0,9.0,100.0,0.25,0.20693024755868009,0.04168469082951175,0.032006048387096774,0.54,0.317109063496893
30,31,"Ohno and Nishioka 1984, L2",Rectangular,Cantilever,P Ram rotation increases V,0,127.0,400.0,400.0,1600.0,24.8,362.0,0.0,325.0,0.0,19.0,19.0,8.0,31.5,2.0,31.5,0.0,2.0,9.0,100.0,0.25,0.20693024755868009,0.04168469082951175,0.032006048387096774,0.54,0.317109063496893
31,32,"Ohno and Nishioka 1984, L3",Rectangular,Cantilever,P Ram rotation increases V,0,127.0,400.0,400.0,1600.0,24.8,362.0,0.0,325.0,0.0,19.0,19.0,8.0,31.5,2.0,31.5,0.0,2.0,9.0,100.0,0.25,0.20693024755868009,0.04168469082951175,0.032006048387096774,0.54,0.317109063496893
32,33,"Ohue et al. 1985, 2D16RS",Rectangular,Double Cantilever,Feff provided,1,183.0,200.0,200.0,400.0,32.0,369.0,0.0,316.0,0.0,16.0,16.0,4.0,11.0,0.0,11.0,0.0,2.0,5.5,50.0,0.5,0.23184953783492673,0.0469226315244763,0.14296875,0.66,0.6974662083509454
33,34,"Ohue et al. 1985, 4D13RS",Rectangular,Double Cantilever,Feff provided,1,183.0,200.0,200.0,400.0,29.9,370.0,0.0,316.0,0.0,13.0,13.0,8.0,12.5,2.0,12.5,0.0,2.0,5.5,50.0,0.5,0.32850131877754146,0.05021820096265023,0.15301003344481606,0.66,0.8136152798874033
34,35,"Zhou et al. 1985, No. 806",Rectangular,Double Cantilever,Feff provided,1,124.0,80.0,80.0,80.0,32.3,336.0,379.0,341.0,448.0,6.0,6.0,4.0,10.0,0.0,10.0,0.0,2.0,4.0,80.0,1.0,0.1838269385537062,0.04145832410503559,0.5998452012383901,0.3,1.0064576890039063
35,36,"Zhou et al. 1985, No. 1007",Rectangular,Double Cantilever,Feff provided,1,152.0,80.0,80.0,80.0,34.0,336.0,379.0,341.0,448.0,6.0,6.0,4.0,10.0,0.0,10.0,0.0,2.0,4.0,80.0,1.0,0.17463559162602085,0.03938540789978381,0.698529411764706,0.3,0.9500875444791055
36,37,"Zhou et al. 1985, No. 1309",Rectangular,Double Cantilever,Feff provided,1,189.0,80.0,80.0,80.0,32.8,336.0,379.0,341.0,448.0,6.0,6.0,4.0,10.0,0.0,10.0,0.0,2.0,4.0,80.0,1.0,0.18102469863672896,0.04082633745709298,0.9003429878048782,0.3,0.7326554498392694
37,38,"Imai and Yamamoto 1986, No. 1",Rectangular,Double Cantilever,Not defined in report,2,392.0,400.0,500.0,825.0,27.1,318.0,0.0,336.0,0.0,22.0,22.0,14.0,37.0,3.0,37.0,2.0,2.0,9.0,100.0,0.6060606060606061,0.312241850506936,0.03943800076572869,0.07232472324723248,0.54,0.8408005898848254
38,39,"Zhou et al. 1987, No. 104-08",Rectangular,Double Cantilever,Feff provided,2,406.0,160.0,160.0,160.0,19.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,1.0,0.3814839777161825,0.17323136574304512,0.8009785353535354,0.75,0.6279045324999748
39,40,"Zhou et al. 1987, No. 114-08",Rectangular,Double Cantilever,Feff provided,2,406.0,160.0,160.0,160.0,19.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,1.0,0.3814839777161825,0.17323136574304512,0.8009785353535354,0.75,0.6279045324999748
40,41,"Zhou et al. 1987, No. 124-08",Rectangular,Double Cantilever,Feff provided,2,406.0,160.0,160.0,160.0,19.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,3.4,5.0,40.0,1.0,0.3814839777161825,0.2944933217631767,0.8009785353535354,0.75,0.4817285676250666
41,42,"Zhou et al. 1987, No. 204-08",Rectangular,Double Cantilever,Feff provided,1,432.0,160.0,160.0,320.0,21.1,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,0.5,0.35798022553461667,0.16255834320911344,0.7997630331753555,0.75,0.448258263926912
42,43,"Zhou et al. 1987, No. 214-08",Rectangular,Double Cantilever,Feff provided,0,432.0,160.0,160.0,320.0,21.1,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,0.5,0.35798022553461667,0.16255834320911344,0.7997630331753555,0.75,0.448258263926912
43,44,"Zhou et al. 1987, No. 223-09",Rectangular,Double Cantilever,Feff provided,1,486.0,160.0,160.0,320.0,21.1,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,3.4,5.0,40.0,0.5,0.35798022553461667,0.2763491834554928,0.8997334123222749,0.75,0.2854788356737223
