name,test_or_train,type,rmse_cal,rmse_sur,energy_cal,energy_sur,stiff_cal,stiff_sur,a1,a2,a3,a4,a5,a6
"Ang et al. 1985, No. 2",test,Flexure-Shear,0.002167593686028418,0.006042833977293871,0.039321890331167966,0.25306058411787746,0.8738989120957076,0.4223233428609279,0.5,0.3720533333333333,0.0023765245743267,0.0,0.6,0.7243750499280002
"Ang et al. 1985, No. 4",test,Shear,0.0015189942884709284,0.005079661537904668,0.0011653817612854883,0.005891749667924267,0.9856550294807003,0.9951228834122483,0.4,0.3875555555555555,0.0024755464315903,0.0,0.6,0.6673089133089132
"Ang et al. 1985, No. 5",train,Flexure-Shear,0.002396433834216166,0.002381502167532675,0.020160353258502288,0.016647227305544687,0.8036440810741291,0.8172393256158988,0.5,0.4559477124183006,0.0079682078592753,0.0,0.3636363636363636,0.7783582794756119
"Ang et al. 1985, No. 6",train,Shear,0.0025850670352591328,0.002551626950131425,0.001063129014343364,0.004348485662539619,0.9959022984396511,1.0021008737237056,0.5,0.4486173633440514,0.0028655842938023,0.0,0.9,0.6347164891131942
"Ang et al. 1985, No. 7",train,Shear,0.002799501493147738,0.002695329189653024,0.02238012530896255,0.021364988821628163,0.9075199399679402,0.9513737842551916,0.6666666666666666,0.4635215946843853,0.0029607864298091,0.0,0.6,0.8635593678789127
"Ang et al. 1985, No. 9",test,Flexure,0.001488732608913563,0.0039885310837520305,0.013181373592332311,0.08339510204879264,1.0567507352315009,0.8626689872887645,0.5,0.4995121951219512,0.0035217682726967,0.1999141358349417,1.2,0.6441612029721202
"Ang et al. 1985, No. 11",test,Flexure-Shear,0.002405860022613654,0.005396240520785689,0.010900521488857324,0.02351301480123184,0.9710289407902555,1.3255465474225314,0.5,0.4594871794871795,0.0119558354320065,0.1999639028590479,0.6,0.682230797687543
"Ang et al. 1985, No. 14",train,Flexure-Shear,0.003020516415997104,0.0029314738742140774,0.015555265528755111,0.019943247587949887,0.8711617741356055,0.8902194124189103,0.5,0.3854143646408839,0.0024468579808267,0.1000214076060944,1.2,0.620939556188632
"Ang et al. 1985, No. 16",train,Shear,0.0029410521768164373,0.002960232640040261,0.015533266880465035,0.013309504378094123,0.956220911138091,0.9708362116393241,0.5,0.240551724137931,0.0025452947961473,0.0,0.6,0.4456365353860116
"Ang et al. 1985, No. 17",test,Flexure-Shear,0.002212842822871445,0.0037308184077161845,0.009861423316815093,0.04129514559469863,1.005780448895551,0.9633307339422923,0.5,0.4177245508982036,0.0026519837995787,0.100067479189515,0.6,0.8184139320397075
"Ang et al. 1985, No. 18",test,Shear,0.003108436958181651,0.0042583585767331945,0.011570230515627253,0.033184251493791284,0.8375446784424452,1.0250090442610034,0.4,0.4067638483965015,0.0025823982188317,0.0999938490854328,0.6,0.7565568201355242
"Ang et al. 1985, No. 20",train,Shear,0.0033329498376908867,0.004305849541797587,0.007137132758442819,0.007129269896574704,1.179363443689059,1.2697702820332655,0.6666666666666666,0.4055813953488372,0.0025748912472653,0.0999344991507249,0.45,0.9438649780755112
"Ang et al. 1985, No. 22",test,Shear,0.0022269734648723734,0.003708598368879024,0.00638205534797652,0.003427453283292509,1.056718565186017,0.8177303802726489,0.5,0.4202409638554216,0.0026679596056002,0.0,0.45,0.837978399565385
"Ang et al. 1985, No. 23",test,Flexure-Shear,0.0024777971715485873,0.004601669076004219,0.01567094822110676,0.03796609006765483,0.9803135491946876,1.1452182533855724,0.5,0.4515210355987055,0.007741020416317,0.0,0.2727272727272727,0.8698877035575824
"Ang et al. 1985, No. 25",train,Shear,0.001804596990577534,0.002653044236747005,0.0020909969713535474,0.0022709564140908035,0.9953460716980544,0.8790061415406644,0.5,0.4215105740181268,0.0072265115064712,0.0,0.5454545454545454,0.6397940442004048
