,id,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s
129,383,"Saatcioglu and Baingo 1999, RC4",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1850,250,1645,90,419,0,580,0,16,8,14,8,50
130,384,"Saatcioglu and Baingo 1999, RC6",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1850,250,1645,90,419,0,420,0,16,8,15.6,11.3,100
131,385,"Saatcioglu and Baingo 1999, RC7",Spiral,Cantilever,P Ram rotation decreases V,Flexure,925,250,1645,90,419,0,1000,0,16,8,13.8,7.5,50
132,386,"Saatcioglu and Baingo 1999, RC8",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1850,250,1645,90,419,0,1000,0,16,8,13.8,7.5,50
133,387,"Saatcioglu and Baingo 1999, RC9",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1850,250,1645,90,419,0,420,0,16,8,13.8,11.3,50
134,388,"Nelson and Price 2000, Col1",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1450,508,1524,56.2,455,723.5,455,0,16,10,21.3,4.5,102
135,389,"Nelson and Price 2000, Col2",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1243,508,1524,56.3,455,723.5,455,0,16,10,21.3,4.5,102
136,390,"Nelson and Price 2000, Col3",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1139,508,1524,57,455,723.5,455,0,16,10,21.3,4.5,102
137,391,"Nelson and Price 2000, Col4",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1139,508,1524,52.7,455,723.5,455,0,16,10,21.3,4.5,102
138,392,"Henry 1998, 415p",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1308,609.6,2438.4,37.2,462,0,606.8,0,15.9,22,22.2,6.4,31.8
139,393,"Henry 1998, 415s",Spiral,Cantilever,P Ram rotation decreases V,Flexure,654,609.6,2438.4,37.2,462,0,606.8,0,15.9,22,22.2,6.4,63.5
140,394,"Chai, Priestley, and Seible 1991, Test 3",Spiral,Cantilever,P Ram rotation decreases V,Flexure,1779,609.6,3657,32.6,315.1,497.8,351.6,0,19,26,20,6.4,127
141,395,"Soderstrom 2001,C1",Spiral,Cantilever,Shear provided,Flexure,0,419,1968.5,60.6,429.5,717,413.7,0,22.2,8,55.6,9.5,50.8
142,396,"Soderstrom 2001,C2",Spiral,Cantilever,Shear provided,Flexure,0,419,1968.5,62.6,429.5,717,413.7,0,22.2,8,55.6,9.5,50.8
143,397,"Soderstrom 2001,C3",Spiral,Cantilever,Shear provided,Flexure,0,419,1968.5,69.6,429.5,717,413.7,0,22.2,8,55.8,10,50.8
144,398,"Soderstrom 2001,C4",Spiral,Cantilever,Shear provided,Flexure,987.5,419,1968.5,69.6,429.5,717,413.7,0,22.2,8,55.8,10,50.8
145,399,"Graff, 2001,C5",Spiral,Cantilever,Shear provided,Flexure,987.5,419,1968.5,69.6,491.6,820.5,413.7,0,22.2,8,55.8,10,50.8
146,400,"Graff, 2001,C6",Spiral,Cantilever,Shear provided,Flexure,987.5,419,1968.5,69.6,506,710.2,413.7,0,22.2,8,55.8,10,50.8
147,401,"Graff, 2001,C7",Spiral,Cantilever,Shear provided,Flexure,987.5,419,1968.5,69.6,506,710.2,413.7,0,22.2,8,55.8,10,50.8
148,402,"Graff, 2001,C8",Spiral,Cantilever,Shear provided,Flexure,987.5,419,1968.5,69.6,491.6,820.5,413.7,0,22.2,8,55.8,10,50.8
149,403,"Kowalsky and Moyer, 2001, 1",Spiral,Cantilever,Feff provided,Flexure,231.3,457.2,2438.4,32.7,565.4,696.4,434.4,0,19,12,12.7,9.5,76.2
150,404,"Kowalsky and Moyer, 2001, 2",Spiral,Cantilever,Feff provided,Flexure,231.3,457.2,2438.4,34.2,565.4,696.4,434.4,0,19,12,12.7,9.5,76.2
151,405,"Kowalsky and Moyer, 2001, 3",Spiral,Cantilever,Feff provided,Flexure,231.3,457.2,2438.4,31.7,565.4,696.4,434.4,0,19,12,12.7,9.5,76.2
152,406,"Kowalsky and Moyer, 2001, 4",Spiral,Cantilever,Feff provided,Flexure,231.3,457.2,2438.4,33.9,565.4,696.4,434.4,0,19,12,12.7,9.5,76.2
153,407,"Coffman et al. 1993, Column 1",Spiral,Cantilever,P Ram rotation decreases V,Flexure,700,457.2,2863.9,22,379,0,379,0,19,9,38.1,9.5,305
154,408,"Hamilton, 2002, UCI1",Spiral,Cantilever,Feff provided,Flexure,0,406.4,1854.2,36.5,458.5,646,691.5,0,12.7,12,15,4.5,31.8
155,409,"Hamilton, 2002, UCI2",Spiral,Cantilever,Feff provided,Flexure,0,406.4,1854.2,36.5,458.5,646,691.5,0,12.7,12,15,4.5,31.8
156,410,"Hamilton, 2002, UCI3",Spiral,Cantilever,Feff provided,Flexure-Shear,0,406.4,1047.8,34.7,458.5,646,691.5,0,12.7,14,10.4,4.5,171.4
157,411,"Hamilton, 2002, UCI4",Spiral,Cantilever,Feff provided,Flexure-Shear,0,406.4,1047.8,34.7,458.5,646,691.5,0,12.7,14,10.4,4.5,171.4
158,412,"Hamilton, 2002, UCI5",Spiral,Cantilever,Feff provided,Flexure-Shear,0,406.4,1047.8,35.4,458.5,646,691.5,0,12.7,12,10.4,4.5,63.5
159,413,"Hamilton, 2002, UCI6",Spiral,Cantilever,Feff provided,Flexure,0,406.4,1854.2,35.6,458.5,646,691.5,0,12.7,12,15,4.5,31.8
160,414,"McDaniel, 1997, S1",Spiral,Cantilever,Shear provided,Shear,18.8,609.6,1219.2,29.8,454,729.6,200,0,15.9,20,18.6,4.9,101.6
161,415,"McDaniel, 1997, S1-2",Spiral,Cantilever,Shear provided,Shear,18.8,609.6,1219.2,26.8,454,729.6,200,0,15.9,20,18.6,4.9,101.6
162,416,"McDaniel, 1997, S2",Spiral,Cantilever,Shear provided,Shear,18.8,609.6,1219.2,31.2,437.6,688,200,0,15.9,20,18.6,4.9,101.6
