UniqueId,Name,Type,FailureType,ar,lrr,srr,alr,sdr,smr,id
278,"Ang et al. 1985, No. 12",Spiral,1,1.5,0.4878321678321678,0.054044181313502734,0.09988920379368955,0.8333333333333334,1.3516951257321212,24
279,"Ang et al. 1985, No. 13",Spiral,1,2.0,0.38541436464088397,0.04243753612169637,0.10002140760609445,0.8333333333333334,0.9855486914885181,25
26,"Park and Paulay 1990, No. 9",Rectangular,0,2.973333333333333,0.3027140579221095,0.1202184735237544,0.10006195786864931,1.1111111111111112,0.41343159048282857,25
27,"Arakawa et al. 1982, No. 102",Rectangular,0,1.5,0.1297515587048026,0.1396953113777115,0.3332038834951456,0.9696969696969697,0.5047089002602484,26
280,"Ang et al. 1985, No. 14",Spiral,1,2.0,0.4076439169139465,0.022792860646964522,0.0,1.6666666666666667,1.4060188930881081,26
281,"Ang et al. 1985, No. 15",Spiral,1,2.0,0.24055172413793105,0.022072396660997258,0.0,1.6666666666666667,0.8489598591578973,27
28,"Nagasaka 1982, HPRC10-63",Rectangular,2,1.5,0.21757925317728197,0.10810652497769639,0.1701388888888889,1.0606060606060606,0.6475409208315503,27
282,"Ang et al. 1985, No. 16",Spiral,2,2.0,0.41772455089820365,0.022997586940200734,0.10006747918951504,1.6666666666666667,1.3361560064007927,28
29,"Nagasaka 1982, HPRC19-32",Rectangular,1,1.5,0.2237958032680615,0.19459174495985349,0.35,0.6060606060606061,0.5190835774856802,28
283,"Ang et al. 1985, No. 17",Spiral,1,2.5,0.4067638483965015,0.02239415171436456,0.0999938490854328,1.6666666666666667,1.2243661511164816,29
31,"Ohno and Nishioka 1984, L2",Rectangular,0,4.0,0.20693024755868009,0.04168469082951174,0.032006048387096774,1.8518518518518519,0.4528985576643131,30
284,"Ang et al. 1985, No. 18",Spiral,2,1.5,0.39862857142857144,0.02194626868007727,0.10004024994347706,1.6666666666666667,1.7618172281783053,30
32,"Ohno and Nishioka 1984, L3",Rectangular,0,4.0,0.20693024755868009,0.04168469082951174,0.032006048387096774,1.8518518518518519,0.4528985576643131,31
285,"Ang et al. 1985, No. 19",Spiral,2,1.5,0.40558139534883725,0.016746789327093847,0.09993449915072498,2.2222222222222223,1.9320912066252085,31
33,"Ohue et al. 1985, 2D16RS",Rectangular,1,2.0,0.23184953783492673,0.0469226315244763,0.14296875,1.5151515151515151,0.8042647315190902,32
286,"Ang et al. 1985, No. 20",Spiral,2,1.75,0.4202724795640327,0.015697263020491233,0.1749837044620702,2.2222222222222223,1.6983265549355253,32
34,"Ohue et al. 1985, 4D13RS",Rectangular,1,2.0,0.3285013187775414,0.05021820096265022,0.15301003344481606,1.5151515151515151,0.9850778241218323,33
288,"Ang et al. 1985, No. 22",Spiral,2,2.0,0.45152103559870554,0.017907725114240144,0.0,3.6666666666666665,1.669565854845116,34
289,"Ang et al. 1985, No. 23",Spiral,1,2.0,0.43195046439628487,0.03632770452370861,0.0,2.2222222222222223,1.1747270513412313,35
290,"Ang et al. 1985, No. 24",Spiral,1,2.0,0.42151057401812686,0.03343496713172329,0.0,1.8333333333333333,1.2050457226820501,36
