,UniqueId,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,use,ar,lrr,srr,alr,sdr,smr
83,337,"Arakawa et al. 1988, No. 20",Spiral,Double Cantilever,Feff provided,Flexure,215.0,275.0,450.0,29.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,35.0,1,1.6363636363636362,0.5032627986348123,0.07639747322660805,0.1235422681829171,0.9722222222222222,1.0487633365439422
84,338,"Arakawa et al. 1988, No. 21",Spiral,Double Cantilever,Feff provided,Flexure,215.0,275.0,600.0,30.5,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,2.181818181818182,0.4834622950819672,0.03424944646727281,0.11868158877899905,2.0833333333333335,1.215604912243873
86,340,"Arakawa et al. 1988, No. 23",Spiral,Double Cantilever,Feff provided,Flexure-Shear,215.0,275.0,450.0,42.2,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.6363636363636362,0.34942180094786723,0.024753746854308544,0.08577697767202537,2.0833333333333335,1.456288135210695
87,341,"Arakawa et al. 1988, No. 24",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,300.0,31.1,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.090909090909091,0.4741350482315112,0.03358868544218073,0.23278382365012673,2.0833333333333335,2.2408095158667507
89,343,"Arakawa et al. 1988, No. 26",Spiral,Double Cantilever,Feff provided,Flexure,430.0,275.0,600.0,30.9,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,2.181818181818182,0.4772038834951457,0.033806087936952126,0.23429051506533796,2.0833333333333335,1.183978597722823
90,344,"Arakawa et al. 1988, No. 27",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,450.0,18.9,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.6363636363636362,0.7801904761904763,0.05527027075406459,0.3830463976465049,2.0833333333333335,1.5197989599411115
91,345,"Arakawa et al. 1988, No. 28",Spiral,Double Cantilever,Feff provided,Shear,430.0,275.0,450.0,41.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,1,1.6363636363636362,0.3570363196125908,0.025293174751860065,0.17529241926195988,2.0833333333333335,1.448818196759746
92,346,"Kunnath et al. 1997, A2",Spiral,Cantilever,Feff computed,Flexure,200.0,305.0,1372.0,29.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.31473630559082194,0.064904999513634,0.09439357567840774,0.7916666666666666,0.35916169719266816
98,352,"Kunnath et al. 1997, A8",Spiral,Cantilever,Feff computed,Flexure,222.0,305.0,1372.0,32.8,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.2782729531138365,0.05738551786266421,0.09263808539902273,0.7916666666666666,0.36081545409529114
99,353,"Kunnath et al. 1997, A9",Spiral,Cantilever,Feff computed,Flexure,222.0,305.0,1372.0,32.5,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.28084162652719497,0.05791523033524265,0.09349320618732139,0.7916666666666666,0.36102118931216187
100,354,"Kunnath et al. 1997, A10",Spiral,Cantilever,Feff computed,Flexure,200.0,305.0,1372.0,27.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955
101,355,"Kunnath et al. 1997, A11",Spiral,Cantilever,Feff computed,Flexure,200.0,305.0,1372.0,27.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955
102,356,"Kunnath et al. 1997, A12",Spiral,Cantilever,Feff computed,Flexure,200.0,305.0,1372.0,27.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,1,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955
103,357,"Benzoni and Priestley 1994, NR1",Spiral,Cantilever,Feff provided,Flexure-Shear,503.0,610.0,914.5,30.0,462.0,0.0,361.0,0,12.7,12.0,15.9,6.4,76.2,1,1.4991803278688525,0.08010317656543939,0.01665639325181959,0.05737162868420558,1.9843749999999998,0.5565166020669209
105,359,"Hose et al., 1997, SRPH1",Spiral,Cantilever,Feff provided,Flexure,1780.0,610.0,3660.0,41.1,455.0,746.0,414.0,0,22.2,20.0,27.8,9.5,57.0,1,6.0,0.2932552861349178,0.04106964190555042,0.14819332045375327,1.0,0.38358467731221557
106,360,"Vu et al. 1998, NH1",Spiral,Double Cantilever,Feff provided,Flexure,1928.0,457.0,910.0,38.3,427.5,0.0,430.2,0,15.9,20.0,24.8,9.5,60.0,1,1.9912472647702408,0.27022727965150584,0.058072599830688645,0.30689228733303275,1.0526315789473684,0.7143460152890663
