% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.15168	2.40855	1.03876	0.21642	0.44068	1.55607	3.28396	0.93438	4.35708	0.00463	3.92561	1.02532	0.00616	0.74655
1.46294	5.05216	1.02943	0.69255	0.62265	2.36539	2.80619	0.35380	2.40181	0.01036	8.99351	0.63159	0.00247	0.59374
0.51939	0.57950	0.99712	0.73857	0.86937	0.81492	0.44263	0.63653	4.97864	0.00396	4.98275	0.71603	0.01736	0.70215
1.05959	0.62228	1.04057	0.11785	0.49484	1.32924	2.27208	0.34054	1.30835	0.01673	4.52003	1.94652	0.01993	0.43815
1.62284	1.45774	0.98785	0.83342	0.85868	2.74889	0.25920	0.97314	3.65108	0.00015	4.88922	0.13966	0.00175	1.41914
0.64753	0.50198	0.96861	0.45185	0.49996	3.86401	0.67862	0.54389	4.16654	0.01445	3.57887	0.56937	0.00763	1.28282
1.58631	0.78196	0.96698	0.79858	0.38043	0.13901	2.48951	0.47259	1.29122	0.02843	6.10207	0.95988	0.01733	0.47016
1.98362	0.60779	0.96977	0.65505	0.94171	0.29899	4.73997	0.60121	3.16617	0.04157	5.10589	1.52074	0.01490	0.64289
1.49872	8.09434	1.01679	0.59353	0.32759	2.74356	3.61177	0.27853	2.87223	0.02571	0.73275	0.69858	0.02275	1.48509
0.80869	0.52628	0.97638	0.17070	0.56773	0.48748	3.57093	0.50913	8.07514	0.03247	5.90392	0.35780	0.01804	0.21776
1.36986	0.64718	0.95052	0.18330	0.73048	4.59415	3.63662	0.33615	3.28399	0.02248	4.23356	0.83792	0.00485	0.26737
1.57667	1.12986	1.00055	0.30070	0.55410	0.64603	1.52900	0.74560	2.39752	0.03198	6.07223	1.84104	0.00459	1.73836
0.56086	3.01131	0.96536	0.16180	0.44870	1.34077	4.01020	0.65318	1.53094	0.01153	6.92570	0.53050	0.00282	0.80300
1.54270	1.34423	0.95619	0.36750	0.46050	1.24523	0.83753	0.41809	1.48619	0.00904	5.76444	0.91864	0.00251	1.76798
